date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance
2022-12-08,CPIYOY-22NOV,2022-12-13,7.094897959183674,7.05,7,0.6690647482014449,-1.230648245599265,0.02579029571012076
2022-12-09,CPIYOY-22NOV,2022-12-13,7.098979591836735,7.1,6.9,-0.007874015748025596,-1.1251186571341152,0.02336630570595583
2022-12-10,CPIYOY-22NOV,2022-12-13,7.104081632653062,7.1,6.9,0.0307692307692412,-1.216599632766768,0.024473136193252785
2022-12-11,CPIYOY-22NOV,2022-12-13,7.104081632653062,7.1,6.9,0.0307692307692412,-1.216599632766768,0.024473136193252785
2022-12-12,CPIYOY-22NOV,2022-12-13,7.078571428571429,7.1,7.2,-0.14482758620689595,-0.8600965737120898,0.03331632653061227
2022-12-13,CPIYOY-22NOV,2022-12-13,7.176020408163267,7.2,7.2,-0.22274881516586234,0.5278388515702375,0.025496407746772174
2022-12-16,CPIYOY-22DEC,2023-01-12,6.289795918367348,6.3,6.3,-0.06493506493506146,-1.1388707363778823,0.041324448146605575
2022-12-17,CPIYOY-22DEC,2023-01-12,6.289795918367348,6.3,6.3,-0.06493506493506146,-1.1388707363778823,0.041324448146605575
2022-12-18,CPIYOY-22DEC,2023-01-12,6.289795918367348,6.3,6.3,-0.06493506493506146,-1.1388707363778823,0.041324448146605575
2022-12-19,CPIYOY-22DEC,2023-01-12,6.311224489795918,6.3,6.3,0.06748466257668989,-0.7175805260123491,0.04589441899208662
2022-12-20,CPIYOY-22DEC,2023-01-12,6.28469387755102,6.3,6.3,-0.09933774834436553,-0.3432792028914413,0.039663681799250325
2022-12-21,CPIYOY-22DEC,2023-01-12,6.287755102040816,6.3,6.3,-0.0810810810810732,-0.3165067700904016,0.039441899208663075
2022-12-22,CPIYOY-22DEC,2023-01-12,6.297959183673469,6.3,6.3,-0.01449275362318384,-0.09343135250156154,0.034893794252394854
2022-12-23,CPIYOY-22DEC,2023-01-12,6.303061224489795,6.3,6.3,0.022222222222231344,-0.040510351425448565,0.03397022074135778
2022-12-24,CPIYOY-22DEC,2023-01-12,6.30612244897959,6.3,6.3,0.04411764705881605,0.16974368838571063,0.035064556434818824
2022-12-25,CPIYOY-22DEC,2023-01-12,6.309183673469386,6.3,6.3,0.0647482014388442,0.04262049942486934,0.03593606830487296
2022-12-26,CPIYOY-22DEC,2023-01-12,6.309183673469386,6.3,6.3,0.0647482014388442,0.04262049942486934,0.03593606830487296
2022-12-27,CPIYOY-22DEC,2023-01-12,6.309183673469386,6.3,6.3,0.0647482014388442,0.04262049942486934,0.03593606830487296
2022-12-28,CPIYOY-22DEC,2023-01-12,6.311224489795917,6.3,6.3,0.078014184397154,0.013802857684370728,0.03609850062473968
2022-12-29,CPIYOY-22DEC,2023-01-12,6.333673469387754,6.3,6.3,0.2773109243697374,0.8666903894788902,0.029988546438983743
2022-12-30,CPIYOY-22DEC,2023-01-12,6.337755102040815,6.35,6.4,0.300813008130082,0.7321389002536316,0.02786026655560183
2022-12-31,CPIYOY-22DEC,2023-01-12,6.337755102040815,6.35,6.4,0.300813008130082,0.7321389002536316,0.02786026655560183
2023-01-01,CPIYOY-22DEC,2023-01-12,6.339795918367347,6.35,6.4,0.32231404958677945,0.8409633988322667,0.027497917534360684
2023-01-02,CPIYOY-22DEC,2023-01-12,6.331632653061225,6.3,6.4,0.24409448818897145,0.4625768372503858,0.028489171178675547
2023-01-03,CPIYOY-22DEC,2023-01-12,6.327551020408164,6.3,6.3,0.23076923076922873,0.6182650294281147,0.02771032902957101
2023-01-04,CPIYOY-22DEC,2023-01-12,6.325510204081634,6.3,6.3,0.21008403361345598,0.48422109899897636,0.02843086214077468
2023-01-05,CPIYOY-22DEC,2023-01-12,6.333163265306123,6.3,6.3,0.28634361233481304,-0.014293822021619551,0.023951218242399017
2023-01-06,CPIYOY-22DEC,2023-01-12,6.330102040816326,6.3,6.3,0.2669683257918557,0.016574155189227113,0.0228183569346106
2023-01-07,CPIYOY-22DEC,2023-01-12,6.330612244897959,6.3,6.3,0.26785714285714385,0.016316552431294262,0.023144523115368614
2023-01-08,CPIYOY-22DEC,2023-01-12,6.3244897959183675,6.3,6.3,0.24000000000000268,0.45411021428486986,0.021032902957101224
2023-01-09,CPIYOY-22DEC,2023-01-12,6.313265306122449,6.3,6.2,0.11504424778760908,0.27294807710451163,0.02339546022490629
2023-01-10,CPIYOY-22DEC,2023-01-12,6.311224489795919,6.3,6.2,0.09734513274337456,0.2556773712399849,0.023037276134943777
2023-01-11,CPIYOY-22DEC,2023-01-12,6.309183673469386,6.3,6.2,0.08256880733943553,0.43156020573581877,0.022058517284464816
2023-01-12,CPIYOY-22DEC,2023-01-12,6.303061224489796,6.3,6.3,0.02912621359222806,0.4056460818768395,0.021317159516867995
2023-01-15,CPIYOY-23JAN,2023-02-14,5.871428571428571,5.4,5.300000000000001,0.8461538461538471,-1.9328023382513444,0.3991836734693871
2023-01-16,CPIYOY-23JAN,2023-02-14,5.871428571428571,5.4,5.300000000000001,0.8461538461538471,-1.9328023382513444,0.3991836734693871
2023-01-17,CPIYOY-23JAN,2023-02-14,5.871428571428571,5.4,5.300000000000001,0.8461538461538471,-1.9328023382513444,0.3991836734693871
2023-01-18,CPIYOY-23JAN,2023-02-14,5.871428571428571,5.4,5.300000000000001,0.8461538461538471,-1.9328023382513444,0.3991836734693871
2023-01-19,CPIYOY-23JAN,2023-02-14,5.678061224489795,5.7,5.9,-0.13312693498452,-1.4713163866797005,0.04181460849645981
2023-01-20,CPIYOY-23JAN,2023-02-14,5.678061224489795,5.7,5.9,-0.13312693498452,-1.4713163866797005,0.04181460849645981
